rank,account_id,tier,p,has_intent,account_type,industry,employee_count,intent_score,trial_started,trial_active_users,mql_count_90d,web_touchpoints_90d,sales_contacts_90d,snapshot_date
19,ACC-01155,A,0.11569926762188526,True,Prospect,Retail,85,23.5,0,0,4,1,7,2026-07-02
20,ACC-00728,A,0.11565648147974569,True,Prospect,Software,32,8.9,0,0,0,10,0,2026-05-20
21,ACC-01129,A,0.11346219942801374,True,Prospect,Manufacturing,76,77.5,0,0,1,5,0,2026-03-28
22,ACC-00100,A,0.11292289808768276,True,Suspect,Software,16,41.9,0,0,1,12,1,2026-04-29
23,ACC-00958,A,0.11189924570400157,False,Former Customer,Manufacturing,106,,0,0,0,0,5,2025-06-18
24,ACC-01339,A,0.11189756550402105,True,Prospect,Healthcare,42,70.1,0,0,0,3,0,2025-12-04
25,ACC-00686,A,0.11125287722673867,False,Prospect,Professional Services,46,,1,3,0,1,6,2026-03-11
26,ACC-00832,A,0.11024819159307937,True,Prospect,Manufacturing,52,14.6,0,0,0,0,5,2026-06-10
27,ACC-01496,A,0.1093178941909934,True,Former Customer,Retail,277,38.3,0,0,2,13,0,2026-04-10
28,ACC-00768,A,0.1093010022519275,False,Prospect,Manufacturing,69,,1,0,0,14,1,2025-12-31
29,ACC-01102,B,0.10783694502697466,True,Prospect,Professional Services,29,42.5,0,0,1,10,1,2026-04-27
30,ACC-00101,B,0.10684008407039038,True,Former Customer,Manufacturing,30,45.6,0,0,2,0,6,2026-03-14
31,ACC-00175,B,0.10628786068898238,True,Former Customer,Professional Services,317,24.6,0,0,0,0,4,2026-04-25
32,ACC-00260,B,0.1061160830407632,True,Prospect,Financial Services,85,30.8,0,0,0,12,6,2025-05-31
33,ACC-00506,B,0.10604810116440141,True,Suspect,Software,16,51.8,0,0,0,0,7,2026-07-12
34,ACC-00076,B,0.10311322001047164,True,Suspect,Financial Services,149,34.6,1,0,0,9,0,2026-05-06
35,ACC-00935,B,0.10240259693077054,False,Suspect,Manufacturing,218,,0,0,0,2,5,2025-12-10
36,ACC-00802,B,0.10216062385316477,True,Prospect,Software,150,50.7,1,0,2,5,0,2026-04-10
37,ACC-00828,B,0.10121894180391575,True,Prospect,Healthcare,23,38.8,0,0,1,0,5,2026-06-02
38,ACC-00527,B,0.09929880086327554,True,Suspect,Retail,107,30.7,0,0,3,0,5,2025-08-23
39,ACC-01415,B,0.0978322737413732,False,Prospect,Professional Services,143,,1,0,0,5,9,2025-05-21
40,ACC-00730,B,0.09757081236463523,True,Suspect,Financial Services,16,41.2,0,0,3,10,1,2025-10-03
41,ACC-00873,B,0.09678499033697463,False,Prospect,Professional Services,29,,0,0,0,11,2,2026-01-02
42,ACC-01493,B,0.09569658236626725,True,Prospect,Healthcare,87,40.7,0,0,0,10,1,2026-05-02
43,ACC-00570,B,0.09539632839806324,False,Prospect,Manufacturing,28,,0,0,0,0,5,2026-04-18
44,ACC-01471,B,0.0950813307224932,True,Former Customer,Professional Services,83,45.7,0,0,1,9,0,2026-07-03
45,ACC-00915,B,0.09501886788438467,True,Prospect,Retail,93,43.7,0,0,1,3,6,2026-04-19
46,ACC-01021,B,0.09493761786388115,True,Prospect,Retail,135,39.3,0,0,0,8,1,2025-10-15
47,ACC-00082,B,0.09421547420149011,True,Prospect,Professional Services,50,53.3,0,0,0,0,4,2026-05-12
48,ACC-00758,B,0.09410274838523036,False,Suspect,Professional Services,9,,0,0,0,9,0,2026-05-31
49,ACC-00183,B,0.09390799678253292,True,Prospect,Retail,29,67.8,0,0,5,0,0,2025-05-11
50,ACC-01386,B,0.0934513979973762,True,Suspect,Healthcare,60,36.3,0,0,0,9,0,2025-08-11
51,ACC-00421,B,0.09226289219416876,True,Suspect,Software,88,30.1,0,0,2,0,4,2025-11-25
52,ACC-01128,B,0.09209820670381863,False,Suspect,Retail,20,,1,5,0,0,1,2026-03-11
53,ACC-00962,B,0.09170971703162659,True,Prospect,Software,90,57.9,1,3,0,1,0,2025-09-14
54,ACC-00787,B,0.0906834440762641,True,Former Customer,Manufacturing,62,53.2,1,5,3,0,0,2026-04-04
55,ACC-00391,B,0.0893375356770386,False,Former Customer,Retail,81,,0,0,0,11,2,2026-03-04
56,ACC-00839,B,0.08920446052655882,True,Prospect,Manufacturing,48,9.8,0,0,1,1,4,2026-04-11
57,ACC-01394,B,0.08826302031049164,False,Suspect,Healthcare,61,,1,1,3,9,0,2026-05-12
58,ACC-00042,B,0.08824699546555363,True,Prospect,Software,191,34.0,1,4,1,1,2,2024-11-22
59,ACC-00525,B,0.08814372839602577,True,Prospect,Retail,14,27.6,1,3,1,4,1,2026-05-04
60,ACC-00270,B,0.08755912602863473,True,Suspect,Financial Services,45,12.0,0,0,0,2,5,2026-04-28
61,ACC-01326,B,0.08733723282712451,True,Former Customer,Retail,21,22.5,0,0,0,1,9,2025-05-26
62,ACC-00989,B,0.08684647485124945,False,Suspect,Professional Services,9,,0,0,3,9,0,2026-05-01
63,ACC-01008,B,0.08684647485124945,False,Prospect,Professional Services,30,,0,0,3,10,0,2026-05-14
64,ACC-01404,B,0.08423324074642272,False,Suspect,Software,175,,1,0,4,9,0,2026-04-18
65,ACC-01440,B,0.08404799046149894,True,Prospect,Manufacturing,175,7.6,0,0,4,8,0,2026-04-26
66,ACC-00690,B,0.08355112935570029,False,Prospect,Retail,30,,0,0,2,0,4,2026-05-18
67,ACC-01289,B,0.08355112935570029,False,Prospect,Financial Services,51,,0,0,1,0,4,2026-06-16
68,ACC-00200,B,0.08338605388980742,True,Prospect,Retail,47,43.7,1,3,0,6,0,2026-04-07
69,ACC-01429,B,0.08275530760158395,False,Suspect,Software,80,,1,1,1,3,5,2026-06-24
70,ACC-01043,B,0.08266988385239853,True,Former Customer,Software,56,14.3,0,0,3,10,0,2026-06-19
71,ACC-01334,B,0.08175445106980246,True,Suspect,Retail,111,55.0,0,0,1,0,0,2025-10-24
72,ACC-00233,B,0.07996952485132162,True,Prospect,Manufacturing,102,22.1,0,0,0,8,0,2026-02-21
73,ACC-00323,B,0.07955427291334784,False,Prospect,Healthcare,58,,0,0,4,9,4,2025-11-10
74,ACC-01411,B,0.07954199806076186,True,Prospect,Retail,52,22.3,0,0,2,8,1,2026-05-24
75,ACC-01475,C,0.07834794029739756,True,Suspect,Retail,107,41.7,1,1,0,5,2,2026-06-13
76,ACC-00718,C,0.07784778767648635,True,Prospect,Manufacturing,25,70.2,0,0,0,2,0,2025-12-20
77,ACC-00887,C,0.07770539894494244,True,Prospect,Manufacturing,25,58.1,0,0,2,0,3,2026-04-25
78,ACC-00414,C,0.07757703759970261,False,Prospect,Financial Services,14,,0,0,3,0,4,2026-04-18
79,ACC-01432,C,0.0775199048887803,True,Suspect,Retail,7,18.8,0,0,2,5,4,2025-11-05
80,ACC-00631,C,0.07656075349865811,False,Prospect,Software,38,,0,0,0,8,0,2026-01-02
81,ACC-00501,C,0.07643744130444105,True,Suspect,Financial Services,66,23.8,0,0,3,6,2,2026-03-25
82,ACC-01414,C,0.07633136106572597,True,Prospect,Manufacturing,34,23.5,0,0,2,0,2,2026-04-08
83,ACC-01100,C,0.07562761093968497,True,Prospect,Software,357,30.7,0,0,3,9,0,2026-05-22
84,ACC-00461,C,0.07560638561495713,False,Suspect,Professional Services,173,,0,0,5,10,0,2025-11-27
85,ACC-01179,C,0.0755838240105348,True,Suspect,Manufacturing,672,51.6,0,0,2,0,0,2026-05-04
86,ACC-00629,C,0.07502559996471315,False,Prospect,Retail,66,,0,0,2,9,0,2026-07-01
87,ACC-01333,C,0.07499235535523835,False,Suspect,Manufacturing,26,,0,0,4,0,4,2026-04-23
88,ACC-01157,C,0.0742399253387425,True,Suspect,Financial Services,125,13.3,1,3,2,6,0,2026-03-24
89,ACC-01214,C,0.07353761696611616,False,Former Customer,Software,57,,0,0,0,2,5,2026-03-22
90,ACC-00160,C,0.07323581038377505,True,Suspect,Professional Services,63,6.9,0,0,0,8,3,2026-04-06
91,ACC-00700,C,0.07297778957086674,False,Suspect,Professional Services,5,,0,0,0,8,0,2026-03-21
92,ACC-00492,C,0.07238862700438783,False,Suspect,Retail,559,,1,2,0,6,3,2026-08-01
93,ACC-00431,C,0.07158461603440144,False,Prospect,Manufacturing,25,,0,0,1,6,6,2026-05-20
94,ACC-01416,C,0.07104518709883523,True,Prospect,Professional Services,111,30.5,0,0,2,7,4,2026-01-24
95,ACC-00285,C,0.0706729493953822,True,Suspect,Professional Services,140,36.6,1,3,3,4,0,2026-03-11
96,ACC-00735,C,0.07056994818026825,False,Prospect,Financial Services,103,,0,0,4,1,6,2025-08-16
97,ACC-00581,C,0.07055151330668906,False,Suspect,Software,25,,0,0,0,5,5,2026-03-17
98,ACC-00398,C,0.07033695634946249,False,Suspect,Manufacturing,96,,1,3,1,4,0,2026-03-25
99,ACC-00041,C,0.07006174329264118,True,Prospect,Professional Services,122,12.1,1,1,0,3,3,2026-03-31
100,ACC-00112,C,0.06979299013168544,True,Prospect,Financial Services,145,15.0,0,0,4,2,4,2026-05-12
101,ACC-01459,C,0.06935069797198619,True,Suspect,Software,128,40.7,0,0,4,2,7,2026-04-30
102,ACC-01151,C,0.06909317629678764,True,Prospect,Retail,44,8.0,1,2,1,0,0,2026-06-01
103,ACC-01177,C,0.06870148587318814,True,Former Customer,Retail,30,31.5,0,0,3,1,5,2025-12-05
104,ACC-00552,C,0.06781443943149847,True,Prospect,Software,25,10.1,1,2,1,2,0,2026-05-11
105,ACC-00479,C,0.0663891527055778,True,Prospect,Manufacturing,126,26.5,0,0,3,8,0,2026-04-23
106,ACC-00687,C,0.0663153776279458,False,Prospect,Manufacturing,54,,0,0,0,8,0,2026-03-16
107,ACC-00186,C,0.06610790942333937,True,Suspect,Manufacturing,20,24.6,0,0,2,7,4,2024-12-19
108,ACC-00086,C,0.06541165661116945,True,Prospect,Professional Services,26,17.9,1,3,0,4,0,2026-04-14
109,ACC-00438,C,0.06508885191105332,True,Prospect,Retail,22,4.3,0,0,3,1,0,2024-10-31
110,ACC-00264,C,0.06427785553527147,True,Suspect,Manufacturing,46,37.3,1,2,0,0,0,2026-06-17
111,ACC-00015,C,0.06404574899000844,False,Prospect,Software,91,,0,0,0,4,4,2026-05-10
112,ACC-00806,C,0.06404574899000844,True,Prospect,Healthcare,82,26.0,0,0,0,3,4,2026-03-24
113,ACC-00934,C,0.0633673830547969,True,Prospect,Retail,20,11.2,0,0,2,7,2,2025-10-09
114,ACC-01091,C,0.06296333076285823,True,Prospect,Professional Services,38,19.5,1,1,0,0,0,2025-05-01
115,ACC-00558,C,0.06256893131831724,True,Prospect,Software,123,40.6,1,2,0,4,2,2026-04-11
116,ACC-00191,C,0.06253597141630658,True,Prospect,Professional Services,33,55.4,0,0,2,1,1,2026-06-22
117,ACC-00908,C,0.06250432815985645,True,Suspect,Financial Services,143,14.4,1,0,2,0,1,2025-02-22
118,ACC-00315,C,0.062491824676382424,False,Suspect,Retail,6,,0,0,0,4,4,2026-05-18
119,ACC-00883,C,0.06231185223008794,False,Prospect,Financial Services,56,,0,0,4,6,6,2026-07-25
120,ACC-01020,C,0.06191247621078546,True,Suspect,Manufacturing,138,17.2,1,0,1,2,0,2026-05-07
121,ACC-01352,C,0.06079311905488056,False,Former Customer,Financial Services,115,,1,0,3,0,3,2026-04-27
122,ACC-01269,C,0.06040697035214475,True,Suspect,Manufacturing,36,15.2,1,0,1,4,0,2024-12-11
123,ACC-00564,C,0.060387990113290727,False,Prospect,Professional Services,7,,1,4,1,0,0,2026-04-19
124,ACC-00392,C,0.06009750825384082,True,Prospect,Retail,35,47.8,0,0,1,6,0,2026-02-11
125,ACC-00682,C,0.05936432942600208,True,Former Customer,Healthcare,106,31.2,0,0,4,2,4,2025-07-14
126,ACC-00483,C,0.058934825969988947,True,Prospect,Professional Services,50,14.8,1,0,3,0,0,2026-06-30
127,ACC-00776,C,0.05839778385725003,True,Suspect,Financial Services,1909,31.1,0,0,2,0,0,2026-04-05
128,ACC-01033,C,0.05818866319005222,True,Suspect,Healthcare,202,1.7,0,0,0,0,1,2026-04-14
129,ACC-00268,C,0.05780248533593858,True,Former Customer,Retail,97,40.6,0,0,3,5,0,2026-06-29
130,ACC-00067,C,0.0575535356773308,True,Prospect,Retail,161,7.2,0,0,1,0,3,2026-01-30
131,ACC-00070,C,0.05754847747439209,True,Prospect,Software,130,7.1,0,0,3,0,0,2026-03-30
132,ACC-01135,C,0.05750024955761577,True,Prospect,Retail,195,47.7,0,0,0,0,2,2026-01-21
133,ACC-00498,C,0.057175315707558697,True,Prospect,Financial Services,44,25.7,1,3,1,1,0,2025-11-11
134,ACC-01227,C,0.056955287729839765,True,Suspect,Retail,163,27.4,1,0,1,3,1,2026-02-05
135,ACC-00284,C,0.05691834169751893,False,Suspect,Manufacturing,39,,1,0,4,0,1,2026-05-29
136,ACC-00433,C,0.05675056282920454,True,Former Customer,Manufacturing,291,35.8,1,1,4,5,0,2025-03-04
137,ACC-00011,C,0.05665453010380998,False,Suspect,Manufacturing,17,,1,0,0,7,0,2026-03-06
138,ACC-01229,C,0.0564704421190701,True,Prospect,Software,114,12.0,0,0,1,5,0,2026-05-10
139,ACC-00789,C,0.05637843055562307,True,Suspect,Professional Services,91,53.3,0,0,1,0,0,2025-09-30
140,ACC-00833,C,0.05615516210210596,True,Prospect,Software,295,49.6,0,0,2,0,2,2026-05-26
141,ACC-00359,C,0.05614273861928683,True,Former Customer,Financial Services,41,7.5,0,0,3,0,0,2026-04-29
142,ACC-01337,C,0.055794870024035784,True,Prospect,Software,28,15.2,1,1,3,2,0,2026-03-24
143,ACC-01340,C,0.05568157707842572,True,Prospect,Manufacturing,460,22.6,0,0,1,2,3,2026-03-07
144,ACC-00870,C,0.05552714020210112,True,Suspect,Software,61,31.7,0,0,4,3,4,2026-03-27
145,ACC-00550,C,0.055462798655196405,True,Suspect,Professional Services,22,7.5,0,0,5,2,1,2026-04-29
146,ACC-00531,C,0.05536399783101281,False,Prospect,Software,496,,1,2,0,0,0,2026-05-04
147,ACC-00418,C,0.05528765249595287,False,Suspect,Financial Services,147,,1,0,1,0,1,2026-02-02
148,ACC-00208,C,0.054188462657601535,False,Prospect,Healthcare,20,,1,0,0,3,1,2025-07-13
149,ACC-01290,C,0.054122112913932555,True,Suspect,Professional Services,467,38.1,0,0,0,7,0,2026-04-12
150,ACC-01434,C,0.05402246211682925,True,Suspect,Financial Services,700,25.0,0,0,2,0,0,2026-01-15
151,ACC-00299,C,0.05402246211682925,False,Suspect,Software,617,,0,0,2,0,0,2025-09-06
152,ACC-01377,C,0.05300676339230777,False,Prospect,Software,800,,0,0,0,3,0,2026-04-08
153,ACC-01026,D,0.05250022646630769,False,Prospect,Professional Services,6,,0,0,4,5,4,2026-05-28
154,ACC-00366,D,0.05245428813947127,True,Suspect,Professional Services,31,11.7,0,0,2,5,0,2026-02-13
155,ACC-01293,D,0.05204090366953759,True,Suspect,Retail,95,22.0,0,0,0,0,2,2025-12-20
156,ACC-01038,D,0.051480062756581235,True,Prospect,Professional Services,31,19.5,0,0,0,7,1,2025-11-01
157,ACC-00109,D,0.05128539230810938,True,Suspect,Manufacturing,112,21.9,0,0,1,0,1,2024-11-21
158,ACC-01442,D,0.05097705590606378,True,Prospect,Healthcare,26,30.5,0,0,1,7,2,2026-06-26
159,ACC-00778,D,0.050896603887925856,True,Prospect,Software,63,9.5,0,0,0,0,2,2024-09-25
160,ACC-00369,D,0.050762452256607256,True,Prospect,Healthcare,40,20.3,0,0,0,0,2,2025-05-04
161,ACC-00049,D,0.05066287025632632,True,Prospect,Financial Services,105,12.1,0,0,0,0,0,2026-04-22
162,ACC-00980,D,0.05053377622921996,True,Suspect,Retail,287,20.3,0,0,0,0,2,2026-03-16
163,ACC-01201,D,0.05049885106280486,False,Prospect,Healthcare,53,,1,0,0,1,0,2026-04-13
164,ACC-00150,D,0.050213089907480135,True,Prospect,Financial Services,51,16.4,0,0,6,0,2,2026-04-16
165,ACC-00272,D,0.05019108787490342,True,Prospect,Financial Services,73,44.2,0,0,0,6,3,2025-01-23
166,ACC-00144,D,0.050096025152385815,True,Prospect,Financial Services,29,19.5,0,0,1,6,0,2025-10-13
167,ACC-01212,D,0.049936573321390496,True,Prospect,Software,27,8.1,0,0,0,1,2,2026-05-07
168,ACC-01192,D,0.04957583762372842,True,Prospect,Software,112,18.8,0,0,3,3,0,2026-04-03
169,ACC-00808,D,0.04949474169780407,True,Prospect,Retail,26,28.8,0,0,1,7,0,2025-09-18
170,ACC-00423,D,0.04941650725461197,True,Former Customer,Financial Services,16,11.0,0,0,0,0,0,2026-04-28
171,ACC-00275,D,0.049379659842334306,True,Suspect,Healthcare,80,46.3,0,0,0,0,1,2026-04-05
172,ACC-00960,D,0.04928605422917332,True,Suspect,Healthcare,49,20.5,0,0,0,0,0,2026-05-04
173,ACC-01266,D,0.049173324573055385,True,Suspect,Manufacturing,111,38.9,0,0,2,5,1,2026-06-14
174,ACC-00295,D,0.049173324573055385,True,Prospect,Manufacturing,95,37.2,0,0,2,1,0,2026-04-21
175,ACC-00362,D,0.0486749335358182,True,Suspect,Financial Services,97,15.9,0,0,0,0,3,2026-05-18
176,ACC-00116,D,0.048446781882751117,True,Prospect,Healthcare,100,42.5,0,0,0,2,3,2024-10-23
177,ACC-00289,D,0.048354854709791256,True,Prospect,Healthcare,50,19.4,0,0,0,5,0,2025-06-20
178,ACC-00722,D,0.04834438472346346,True,Suspect,Manufacturing,105,27.5,0,0,2,0,2,2025-04-19
179,ACC-00587,D,0.0482502835319303,True,Former Customer,Healthcare,81,30.1,0,0,2,0,0,2026-03-22
180,ACC-00471,D,0.04816326366723395,True,Prospect,Financial Services,36,37.9,0,0,0,0,3,2026-04-26
181,ACC-01257,D,0.04816326366723395,True,Suspect,Financial Services,19,37.6,0,0,0,0,0,2025-06-06
182,ACC-01349,D,0.04796175472597977,True,Suspect,Manufacturing,18,35.9,0,0,0,2,0,2026-05-04
183,ACC-00043,D,0.04796175472597977,True,Suspect,Manufacturing,23,43.6,0,0,0,4,3,2026-06-28
184,ACC-00803,D,0.04775470041351147,True,Prospect,Financial Services,75,18.2,0,0,1,1,2,2025-11-29
185,ACC-00481,D,0.0473981123071941,False,Former Customer,Healthcare,63,,0,0,5,0,3,2026-04-20
186,ACC-00906,D,0.04727625781623265,True,Former Customer,Manufacturing,13,14.6,0,0,0,5,2,2026-03-07
187,ACC-00124,D,0.04725222353561751,True,Prospect,Healthcare,52,44.7,0,0,0,4,0,2026-04-16
188,ACC-00910,D,0.04725222353561751,True,Prospect,Healthcare,19,47.5,0,0,1,1,2,2025-07-13
189,ACC-01208,D,0.04725222353561751,True,Prospect,Financial Services,5,47.2,0,0,0,3,1,2026-04-06
190,ACC-00889,D,0.04725222353561751,True,Prospect,Software,16,42.0,0,0,0,1,1,2026-06-18
191,ACC-01464,D,0.047191202610269586,True,Suspect,Professional Services,145,19.0,0,0,3,4,1,2026-05-27
192,ACC-01456,D,0.047152226083723534,True,Prospect,Manufacturing,30,33.4,0,0,2,0,3,2026-04-27
193,ACC-00376,D,0.04706033064906182,True,Former Customer,Financial Services,40,29.2,0,0,2,0,0,2026-05-10
194,ACC-00080,D,0.0470583256440241,True,Former Customer,Manufacturing,68,14.7,0,0,2,5,0,2026-05-14
195,ACC-00416,D,0.04693483750103312,True,Prospect,Manufacturing,117,27.4,0,0,0,0,1,2026-05-23
196,ACC-00345,D,0.04686504024734423,False,Suspect,Manufacturing,53,,0,0,5,6,3,2026-05-01
197,ACC-00779,D,0.04672803734251503,True,Suspect,Software,103,30.3,0,0,0,4,3,2026-04-27
198,ACC-01225,D,0.04657637152526574,True,Prospect,Financial Services,37,13.4,0,0,2,4,3,2026-06-09
199,ACC-00541,D,0.04631195067318344,True,Suspect,Manufacturing,136,31.5,0,0,2,1,3,2026-04-22
200,ACC-00317,D,0.04623976034430188,True,Prospect,Healthcare,87,29.8,0,0,1,0,1,2026-05-19
201,ACC-00537,D,0.046148349023860266,True,Prospect,Professional Services,14,9.9,0,0,0,2,0,2025-06-10
202,ACC-00288,D,0.04604590978124484,True,Suspect,Manufacturing,71,30.3,0,0,0,3,0,2026-05-26
203,ACC-00800,D,0.0458414895354208,True,Suspect,Retail,14,31.8,0,0,0,6,0,2025-08-06
204,ACC-00536,D,0.04575404761667955,False,Prospect,Software,47,,0,0,0,7,1,2026-04-17
205,ACC-01263,D,0.045742444853988935,True,Former Customer,Software,290,30.4,0,0,0,0,0,2026-05-26
206,ACC-00586,D,0.045573828573704685,True,Prospect,Healthcare,25,27.2,0,0,0,3,2,2026-02-25
207,ACC-01185,D,0.04553259304095147,True,Former Customer,Manufacturing,125,24.8,0,0,1,0,2,2026-05-24
208,ACC-00561,D,0.04545347414143639,True,Prospect,Professional Services,82,13.7,0,0,0,4,2,2025-05-21
209,ACC-00967,D,0.04542453825799201,False,Suspect,Manufacturing,76,,0,0,2,6,2,2026-04-27
210,ACC-00313,D,0.04533729386290235,False,Prospect,Retail,466,,0,0,2,4,2,2026-05-02
211,ACC-00429,D,0.04514835308398433,True,Suspect,Financial Services,132,27.8,0,0,2,0,1,2026-04-24
212,ACC-00852,D,0.04509704172765393,True,Prospect,Financial Services,12,29.7,0,0,2,0,0,2025-08-22
213,ACC-00476,D,0.04501104925329573,True,Suspect,Financial Services,163,17.6,0,0,0,2,0,2026-03-23
214,ACC-00702,D,0.0449740672629575,True,Prospect,Professional Services,47,41.9,0,0,0,5,1,2025-08-15
215,ACC-01145,D,0.0449628667716611,True,Prospect,Manufacturing,187,33.5,0,0,0,2,3,2025-10-01
216,ACC-00707,D,0.0449628667716611,True,Prospect,Manufacturing,163,33.0,0,0,2,1,2,2026-05-22
217,ACC-00619,D,0.044887585320497324,True,Prospect,Financial Services,130,47.5,0,0,3,0,3,2025-09-24
218,ACC-00898,D,0.04486286529064051,False,Prospect,Retail,480,,0,0,3,0,0,2025-12-30
219,ACC-00093,D,0.04429563603191208,True,Prospect,Healthcare,224,27.9,0,0,1,1,2,2025-06-24
220,ACC-01495,D,0.04424130540265227,True,Suspect,Financial Services,16,26.7,0,0,0,5,0,2025-03-01
221,ACC-00001,D,0.04424130540265227,True,Suspect,Software,38,33.8,0,0,2,3,0,2026-06-24
222,ACC-00748,D,0.0441243072986949,True,Prospect,Professional Services,99,16.3,0,0,1,5,0,2026-03-17
223,ACC-01164,D,0.0440931309640776,True,Suspect,Retail,10,26.6,0,0,5,0,0,2026-02-26
224,ACC-00358,D,0.04402322521522538,False,Prospect,Financial Services,79,,0,0,3,0,2,2026-03-19
225,ACC-00598,D,0.04402322521522538,True,Suspect,Software,92,25.2,0,0,1,0,2,2024-12-21
226,ACC-01271,D,0.04402322521522538,True,Prospect,Healthcare,68,26.5,0,0,0,0,2,2026-04-10
227,ACC-00453,D,0.043994773562994506,True,Former Customer,Professional Services,236,29.1,0,0,0,1,3,2026-03-18
228,ACC-00077,D,0.04364317219105336,False,Prospect,Software,54,,0,0,0,6,2,2025-05-01
229,ACC-01300,D,0.04364317219105336,False,Prospect,Financial Services,52,,0,0,2,6,2,2025-11-21
230,ACC-00824,D,0.04354866039399014,False,Former Customer,Retail,323,,0,0,0,0,2,2025-12-27
231,ACC-00267,D,0.043544776166441895,False,Former Customer,Financial Services,134,,0,0,0,0,0,2026-04-08
232,ACC-00940,D,0.043495204267301246,False,Former Customer,Financial Services,42,,0,0,0,0,0,2026-05-07
233,ACC-01354,D,0.043495204267301246,False,Former Customer,Financial Services,18,,0,0,1,0,0,2026-04-10
234,ACC-01353,D,0.04344122402882725,False,Suspect,Financial Services,74,,0,0,1,6,1,2025-11-05
235,ACC-00420,D,0.04344122402882725,False,Prospect,Software,77,,0,0,1,6,0,2026-03-13
236,ACC-01144,D,0.04318694349159036,False,Suspect,Software,104,,0,0,0,3,2,2026-06-27
237,ACC-00386,D,0.04318694349159036,False,Prospect,Healthcare,80,,0,0,2,2,2,2026-01-11
238,ACC-00752,D,0.043172154381813155,True,Suspect,Professional Services,94,30.8,0,0,1,4,1,2026-03-21
239,ACC-00136,D,0.04300966100472777,True,Suspect,Financial Services,15,15.0,0,0,4,4,0,2025-04-14
240,ACC-01299,D,0.04299880193329349,True,Suspect,Retail,231,32.1,0,0,0,1,0,2026-01-28
241,ACC-00095,D,0.042932817864562246,False,Suspect,Retail,16,,0,0,0,0,3,2026-06-30
242,ACC-00228,D,0.042932817864562246,False,Prospect,Healthcare,8,,0,0,2,0,2,2026-05-21
243,ACC-00701,D,0.04274989369118982,True,Prospect,Financial Services,200,39.0,0,0,3,3,0,2026-05-24
244,ACC-01311,D,0.0427340098176761,False,Prospect,Retail,71,,0,0,0,0,1,2026-05-27
245,ACC-01168,D,0.04266850533320726,False,Former Customer,Software,19,,0,0,0,3,0,2025-11-14
246,ACC-01178,D,0.0425542006373096,False,Prospect,Manufacturing,92,,0,0,0,4,0,2026-04-27
247,ACC-00876,D,0.042164407031944365,False,Prospect,Financial Services,153,,0,0,1,2,3,2026-04-29
248,ACC-00901,D,0.04211633736574739,False,Prospect,Financial Services,29,,0,0,2,1,2,2026-04-06
249,ACC-01235,D,0.04211633736574739,False,Prospect,Healthcare,9,,0,0,0,4,3,2026-03-07
250,ACC-00130,D,0.04211633736574739,False,Prospect,Healthcare,19,,0,0,0,1,3,2026-03-05
251,ACC-01165,D,0.04211633736574739,False,Prospect,Healthcare,65,,0,0,1,3,2,2026-04-03
252,ACC-00732,D,0.04211633736574739,False,Suspect,Software,22,,0,0,2,3,3,2025-04-14
253,ACC-01287,D,0.04211633736574739,False,Suspect,Financial Services,23,,0,0,1,3,3,2026-06-25
