rank,account_id,tier,p,has_intent,account_type,industry,employee_count,intent_score,snapshot_age_days
138,ACC-01229,C,0.0564704421190701,True,Prospect,Software,114,12.0,83
139,ACC-00789,C,0.05637843055562307,True,Suspect,Professional Services,91,53.3,305
140,ACC-00833,C,0.05615516210210596,True,Prospect,Software,295,49.6,67
141,ACC-00359,C,0.05614273861928683,True,Former Customer,Financial Services,41,7.5,94
142,ACC-01337,C,0.055794870024035784,True,Prospect,Software,28,15.2,130
143,ACC-01340,C,0.055681577078425734,True,Prospect,Manufacturing,460,22.6,147
144,ACC-00870,C,0.05552714020210112,True,Suspect,Software,61,31.7,127
145,ACC-00550,C,0.055462798655196405,True,Suspect,Professional Services,22,7.5,94
146,ACC-00531,C,0.05536399783101281,False,Prospect,Software,496,,89
147,ACC-00418,C,0.05528765249595287,False,Suspect,Financial Services,147,,180
148,ACC-00208,C,0.054188462657601535,False,Prospect,Healthcare,20,,384
149,ACC-01290,C,0.054122112913932555,True,Suspect,Professional Services,467,38.1,111
150,ACC-01434,C,0.05402246211682925,True,Suspect,Financial Services,700,25.0,198
151,ACC-00299,C,0.05402246211682925,False,Suspect,Software,617,,329
152,ACC-01377,C,0.05300676339230777,False,Prospect,Software,800,,115
153,ACC-01026,C,0.05250022646630769,False,Prospect,Professional Services,6,,65
154,ACC-00366,D,0.05245428813947127,True,Suspect,Professional Services,31,11.7,169
155,ACC-01293,D,0.052040903669537605,True,Suspect,Retail,95,22.0,224
156,ACC-01038,D,0.051480062756581235,True,Prospect,Professional Services,31,19.5,273
157,ACC-00109,D,0.05128539230810937,True,Suspect,Manufacturing,112,21.9,618
158,ACC-01442,D,0.05097705590606378,True,Prospect,Healthcare,26,30.5,36
159,ACC-00778,D,0.050896603887925856,True,Prospect,Software,63,9.5,675
160,ACC-00369,D,0.05076245225660727,True,Prospect,Healthcare,40,20.3,454
161,ACC-00049,D,0.05066287025632632,True,Prospect,Financial Services,105,12.1,101
162,ACC-00980,D,0.05053377622921997,True,Suspect,Retail,287,20.3,138
163,ACC-01201,D,0.05049885106280487,False,Prospect,Healthcare,53,,110
164,ACC-00150,D,0.050213089907480135,True,Prospect,Financial Services,51,16.4,107
165,ACC-00272,D,0.05019108787490342,True,Prospect,Financial Services,73,44.2,555
166,ACC-00144,D,0.05009602515238582,True,Prospect,Financial Services,29,19.5,292
167,ACC-01212,D,0.049936573321390496,True,Prospect,Software,27,8.1,86
168,ACC-01192,D,0.04957583762372842,True,Prospect,Software,112,18.8,120
169,ACC-00808,D,0.04949474169780407,True,Prospect,Retail,26,28.8,317
170,ACC-00423,D,0.04941650725461197,True,Former Customer,Financial Services,16,11.0,95
171,ACC-00275,D,0.049379659842334306,True,Suspect,Healthcare,80,46.3,118
172,ACC-00960,D,0.04928605422917332,True,Suspect,Healthcare,49,20.5,89
173,ACC-00295,D,0.049173324573055385,True,Prospect,Manufacturing,95,37.2,102
174,ACC-01266,D,0.049173324573055385,True,Suspect,Manufacturing,111,38.9,48
175,ACC-00362,D,0.0486749335358182,True,Suspect,Financial Services,97,15.9,75
176,ACC-00116,D,0.048446781882751117,True,Prospect,Healthcare,100,42.5,647
177,ACC-00289,D,0.048354854709791256,True,Prospect,Healthcare,50,19.4,407
178,ACC-00722,D,0.04834438472346346,True,Suspect,Manufacturing,105,27.5,469
179,ACC-00587,D,0.048250283531930296,True,Former Customer,Healthcare,81,30.1,132
180,ACC-01257,D,0.04816326366723395,True,Suspect,Financial Services,19,37.6,421
181,ACC-00471,D,0.04816326366723395,True,Prospect,Financial Services,36,37.9,97
182,ACC-00043,D,0.04796175472597977,True,Suspect,Manufacturing,23,43.6,34
183,ACC-01349,D,0.04796175472597977,True,Suspect,Manufacturing,18,35.9,89
184,ACC-00803,D,0.04775470041351147,True,Prospect,Financial Services,75,18.2,245
185,ACC-00481,D,0.0473981123071941,False,Former Customer,Healthcare,63,,103
186,ACC-00906,D,0.04727625781623266,True,Former Customer,Manufacturing,13,14.6,147
187,ACC-00910,D,0.04725222353561751,True,Prospect,Healthcare,19,47.5,384
188,ACC-01208,D,0.04725222353561751,True,Prospect,Financial Services,5,47.2,117
189,ACC-00889,D,0.04725222353561751,True,Prospect,Software,16,42.0,44
190,ACC-00124,D,0.04725222353561751,True,Prospect,Healthcare,52,44.7,107
191,ACC-01464,D,0.047191202610269586,True,Suspect,Professional Services,145,19.0,66
192,ACC-01456,D,0.047152226083723534,True,Prospect,Manufacturing,30,33.4,96
193,ACC-00376,D,0.04706033064906182,True,Former Customer,Financial Services,40,29.2,83
194,ACC-00080,D,0.0470583256440241,True,Former Customer,Manufacturing,68,14.7,79
195,ACC-00416,D,0.046934837501033125,True,Prospect,Manufacturing,117,27.4,70
196,ACC-00345,D,0.04686504024734423,False,Suspect,Manufacturing,53,,92
197,ACC-00779,D,0.04672803734251503,True,Suspect,Software,103,30.3,96
198,ACC-01225,D,0.04657637152526574,True,Prospect,Financial Services,37,13.4,53
199,ACC-00541,D,0.04631195067318344,True,Suspect,Manufacturing,136,31.5,101
200,ACC-00317,D,0.04623976034430188,True,Prospect,Healthcare,87,29.8,74
201,ACC-00537,D,0.046148349023860266,True,Prospect,Professional Services,14,9.9,417
202,ACC-00288,D,0.04604590978124484,True,Suspect,Manufacturing,71,30.3,67
203,ACC-00800,D,0.0458414895354208,True,Suspect,Retail,14,31.8,360
204,ACC-00536,D,0.04575404761667955,False,Prospect,Software,47,,106
205,ACC-01263,D,0.045742444853988935,True,Former Customer,Software,290,30.4,67
206,ACC-00586,D,0.045573828573704685,True,Prospect,Healthcare,25,27.2,157
207,ACC-01185,D,0.04553259304095147,True,Former Customer,Manufacturing,125,24.8,69
208,ACC-00561,D,0.04545347414143639,True,Prospect,Professional Services,82,13.7,437
209,ACC-00967,D,0.04542453825799201,False,Suspect,Manufacturing,76,,96
210,ACC-00313,D,0.04533729386290235,False,Prospect,Retail,466,,91
211,ACC-00429,D,0.04514835308398433,True,Suspect,Financial Services,132,27.8,99
212,ACC-00852,D,0.04509704172765393,True,Prospect,Financial Services,12,29.7,344
213,ACC-00476,D,0.04501104925329573,True,Suspect,Financial Services,163,17.6,131
214,ACC-00702,D,0.0449740672629575,True,Prospect,Professional Services,47,41.9,351
215,ACC-01145,D,0.0449628667716611,True,Prospect,Manufacturing,187,33.5,304
216,ACC-00707,D,0.0449628667716611,True,Prospect,Manufacturing,163,33.0,71
217,ACC-00619,D,0.044887585320497324,True,Prospect,Financial Services,130,47.5,311
218,ACC-00898,D,0.04486286529064051,False,Prospect,Retail,480,,214
219,ACC-00093,D,0.04429563603191208,True,Prospect,Healthcare,224,27.9,403
220,ACC-01495,D,0.04424130540265227,True,Suspect,Financial Services,16,26.7,518
221,ACC-00001,D,0.04424130540265227,True,Suspect,Software,38,33.8,38
222,ACC-00748,D,0.04412430729869489,True,Prospect,Professional Services,99,16.3,137
223,ACC-01164,D,0.0440931309640776,True,Suspect,Retail,10,26.6,156
224,ACC-00598,D,0.04402322521522538,True,Suspect,Software,92,25.2,588
225,ACC-01271,D,0.04402322521522538,True,Prospect,Healthcare,68,26.5,113
226,ACC-00358,D,0.04402322521522538,False,Prospect,Financial Services,79,,135
227,ACC-00453,D,0.043994773562994506,True,Former Customer,Professional Services,236,29.1,136
228,ACC-00077,D,0.04364317219105336,False,Prospect,Software,54,,457
229,ACC-01300,D,0.04364317219105336,False,Prospect,Financial Services,52,,253
230,ACC-00824,D,0.04354866039399014,False,Former Customer,Retail,323,,217
231,ACC-00267,D,0.043544776166441895,False,Former Customer,Financial Services,134,,115
232,ACC-01354,D,0.04349520426730124,False,Former Customer,Financial Services,18,,113
233,ACC-00940,D,0.04349520426730124,False,Former Customer,Financial Services,42,,86
234,ACC-01353,D,0.04344122402882724,False,Suspect,Financial Services,74,,269
235,ACC-00420,D,0.04344122402882724,False,Prospect,Software,77,,141
236,ACC-00386,D,0.04318694349159036,False,Prospect,Healthcare,80,,202
237,ACC-01144,D,0.04318694349159036,False,Suspect,Software,104,,35
238,ACC-00752,D,0.043172154381813155,True,Suspect,Professional Services,94,30.8,133
239,ACC-00136,D,0.043009661004727764,True,Suspect,Financial Services,15,15.0,474
240,ACC-01299,D,0.04299880193329349,True,Suspect,Retail,231,32.1,185
241,ACC-00228,D,0.042932817864562246,False,Prospect,Healthcare,8,,72
242,ACC-00095,D,0.042932817864562246,False,Suspect,Retail,16,,32
243,ACC-00701,D,0.04274989369118982,True,Prospect,Financial Services,200,39.0,69
244,ACC-01311,D,0.0427340098176761,False,Prospect,Retail,71,,66
245,ACC-01168,D,0.04266850533320726,False,Former Customer,Software,19,,260
246,ACC-01178,D,0.0425542006373096,False,Prospect,Manufacturing,92,,96
247,ACC-00876,D,0.042164407031944365,False,Prospect,Financial Services,153,,94
248,ACC-00732,D,0.04211633736574739,False,Suspect,Software,22,,474
249,ACC-00901,D,0.04211633736574739,False,Prospect,Financial Services,29,,117
250,ACC-00130,D,0.04211633736574739,False,Prospect,Healthcare,19,,149
251,ACC-01165,D,0.04211633736574739,False,Prospect,Healthcare,65,,120
252,ACC-01235,D,0.04211633736574739,False,Prospect,Healthcare,9,,147
253,ACC-00602,D,0.04211633736574739,False,Prospect,Financial Services,25,,152
254,ACC-01287,D,0.04211633736574739,False,Suspect,Financial Services,23,,37
255,ACC-00597,D,0.04203954397404417,False,Suspect,Retail,181,,453
256,ACC-01045,D,0.04197278376367591,True,Suspect,Healthcare,61,27.6,109
257,ACC-00236,D,0.041921144569072595,False,Prospect,Retail,80,,122
258,ACC-00237,D,0.041921144569072595,False,Suspect,Software,114,,83
259,ACC-00717,D,0.041921144569072595,False,Prospect,Healthcare,69,,143
260,ACC-01193,D,0.04187422559363654,True,Former Customer,Professional Services,452,33.2,87
261,ACC-00539,D,0.04187260651576102,False,Prospect,Retail,98,,73
262,ACC-00900,D,0.041725458541508297,False,Suspect,Retail,154,,93
263,ACC-00470,D,0.041674142888495504,False,Suspect,Retail,26,,88
264,ACC-01025,D,0.041674142888495504,False,Prospect,Financial Services,29,,95
265,ACC-00131,D,0.041674142888495504,False,Prospect,Healthcare,46,,494
266,ACC-01092,D,0.041674142888495504,False,Prospect,Retail,38,,183
267,ACC-00625,D,0.041674142888495504,False,Prospect,Software,15,,62
268,ACC-00864,D,0.041674142888495504,False,Suspect,Retail,6,,3
269,ACC-00151,D,0.041674142888495504,False,Suspect,Financial Services,27,,408
270,ACC-00805,D,0.041674142888495504,False,Prospect,Financial Services,15,,285
271,ACC-00449,D,0.04149859991687924,False,Prospect,Manufacturing,24,,378
272,ACC-00697,D,0.04146825696219563,False,Former Customer,Financial Services,167,,539
273,ACC-00273,D,0.04139031485025373,True,Former Customer,Professional Services,30,25.6,464
274,ACC-00577,D,0.041338834009766186,False,Suspect,Professional Services,111,,80
275,ACC-01073,D,0.04088057695028009,False,Prospect,Healthcare,9,,112
276,ACC-00763,D,0.04088057695028009,False,Suspect,Healthcare,66,,224
277,ACC-01319,D,0.04088057695028009,False,Prospect,Retail,17,,351
278,ACC-01428,D,0.04088057695028009,False,Prospect,Healthcare,29,,137
279,ACC-00659,D,0.04088057695028009,False,Suspect,Financial Services,27,,130
280,ACC-00467,D,0.04088057695028009,False,Prospect,Healthcare,19,,135
281,ACC-00504,D,0.04088057695028009,False,Prospect,Software,13,,591
282,ACC-00018,D,0.04088057695028009,False,Prospect,Retail,22,,568
283,ACC-01027,D,0.04088057695028009,False,Prospect,Retail,14,,347
284,ACC-01383,D,0.04060192462864469,False,Former Customer,Professional Services,36,,125
285,ACC-00161,D,0.04060192462864469,False,Former Customer,Professional Services,31,,71
286,ACC-01282,D,0.040121218294204015,False,Prospect,Professional Services,121,,103
287,ACC-00614,D,0.039889252851696824,False,Prospect,Professional Services,92,,83
288,ACC-00972,D,0.03972853515385622,False,Suspect,Retail,186,,62
289,ACC-00287,D,0.039653727681091884,False,Prospect,Professional Services,51,,298
290,ACC-00624,D,0.039653727681091884,True,Suspect,Professional Services,7,26.5,460
291,ACC-00669,D,0.039653727681091884,False,Suspect,Professional Services,27,,200
292,ACC-00021,D,0.039653727681091884,False,Prospect,Professional Services,28,,99
293,ACC-00941,D,0.039653727681091884,False,Prospect,Professional Services,15,,84
294,ACC-01373,D,0.03963352367175379,False,Suspect,Software,29,,184
295,ACC-00617,D,0.03915665610199495,True,Prospect,Retail,22,31.2,377
296,ACC-00033,D,0.03894510831852599,False,Prospect,Professional Services,437,,300
297,ACC-01385,D,0.03889707325698896,True,Prospect,Professional Services,44,26.2,0
298,ACC-00334,D,0.03889707325698896,True,Prospect,Professional Services,49,24.9,115
299,ACC-00402,D,0.038534870243063554,False,Prospect,Professional Services,243,,145
300,ACC-00633,D,0.03807069756638674,True,Prospect,Professional Services,188,30.3,68
